TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3232	0.000000000000000e+0	1.150000000000000e+4
4743	0.000000000000000e+0	1.148800000000000e+4
6352	0.000000000000000e+0	1.148200000000000e+4
7965	6.010000000000000e+2	1.143800000000000e+4
9600	9.180000000000000e+2	1.126100000000000e+4
11190	9.500000000000000e+2	1.130600000000000e+4
12814	9.600000000000000e+2	1.133100000000000e+4
14446	9.570000000000000e+2	1.129400000000000e+4
16089	9.700000000000000e+2	1.131700000000000e+4
17679	9.520000000000000e+2	1.129000000000000e+4
19303	9.590000000000000e+2	1.131500000000000e+4
20924	9.840000000000000e+2	1.133100000000000e+4
22537	9.650000000000000e+2	1.132500000000000e+4
24156	9.600000000000000e+2	1.131400000000000e+4
25783	9.660000000000000e+2	1.132800000000000e+4
27393	9.410000000000000e+2	1.133200000000000e+4
28995	9.390000000000000e+2	1.130300000000000e+4
30614	9.630000000000000e+2	1.131800000000000e+4
32111	9.570000000000000e+2	1.131300000000000e+4
33782	9.340000000000000e+2	1.123600000000000e+4
35348	9.450000000000000e+2	1.125600000000000e+4
36973	9.400000000000000e+2	1.131000000000000e+4
38586	9.320000000000000e+2	1.128900000000000e+4
40216	9.440000000000000e+2	1.132000000000000e+4
41845	9.400000000000000e+2	1.131400000000000e+4
43451	9.440000000000000e+2	1.132200000000000e+4
45072	9.430000000000000e+2	1.132100000000000e+4
46685	9.530000000000000e+2	1.131500000000000e+4
48308	9.480000000000000e+2	1.131600000000000e+4
49917	9.330000000000000e+2	1.124200000000000e+4
51533	9.540000000000000e+2	1.130200000000000e+4
53048	9.520000000000000e+2	1.131900000000000e+4
54777	9.540000000000000e+2	1.131800000000000e+4
56269	9.580000000000000e+2	1.131800000000000e+4
57880	9.460000000000000e+2	1.132600000000000e+4
59510	9.360000000000000e+2	1.127900000000000e+4
61152	9.520000000000000e+2	1.132400000000000e+4
62750	9.410000000000000e+2	1.130700000000000e+4
64367	9.630000000000000e+2	1.131600000000000e+4
65989	9.500000000000000e+2	1.129000000000000e+4
67606	9.410000000000000e+2	1.131600000000000e+4
69219	9.390000000000000e+2	1.132500000000000e+4
70871	9.470000000000000e+2	1.132100000000000e+4
72459	9.410000000000000e+2	1.133900000000000e+4
74098	9.490000000000000e+2	1.129300000000000e+4
75678	9.500000000000000e+2	1.130500000000000e+4
77309	9.520000000000000e+2	1.130600000000000e+4
78808	9.640000000000000e+2	1.122900000000000e+4
80414	9.640000000000000e+2	1.127000000000000e+4
82035	9.550000000000000e+2	1.131300000000000e+4
83667	9.400000000000000e+2	1.124200000000000e+4
85271	9.460000000000000e+2	1.132900000000000e+4
